Date, Close 
2018-04-23, 91.99 
2018-04-24, 92.00 
2018-04-25, 88.02 
2018-04-26, 90.15 
2018-04-27, 88.94 
2018-04-30, 88.21 
2018-05-01, 87.76 
2018-05-02, 85.62 
2018-05-03, 86.11 
2018-05-04, 88.00 
2018-05-07, 87.61 
2018-05-08, 87.62 
2018-05-09, 87.90 
2018-05-10, 89.17 
2018-05-11, 90.08 
2018-05-14, 90.07 
2018-05-15, 89.20 
2018-05-16, 88.85 
2018-05-17, 88.42 
2018-05-18, 89.22 
2018-05-21, 90.14 
2018-05-22, 90.11 
2018-05-23, 90.88 
2018-05-24, 91.22 
2018-05-25, 91.53 
2018-05-29, 92.21 
2018-05-30, 94.12 
2018-05-31, 93.00 
2018-06-01, 93.00 
2018-06-04, 95.31 
2018-06-05, 95.03 
2018-06-06, 96.33 
2018-06-07, 95.30 
2018-06-08, 96.75 
2018-06-11, 97.27 
2018-06-12, 98.37 
2018-06-13, 98.73 
2018-06-14, 100.02 
2018-06-15, 101.03 
2018-06-18, 101.50 
2018-06-19, 101.70 
2018-06-20, 101.88 
2018-06-21, 100.92 
2018-06-22, 100.99 
2018-06-25, 98.64 
2018-06-26, 99.32 
2018-06-27, 98.05 
2018-06-28, 98.68 
2018-06-29, 99.29 
2018-07-02, 98.69 
2018-07-03, 98.92 
2018-07-05, 99.41 
2018-07-06, 100.56 
2018-07-09, 101.03 
2018-07-10, 100.80 
2018-07-11, 100.00 
2018-07-12, 100.58 
2018-07-13, 100.03 
2018-07-16, 98.45 
2018-07-17, 98.87 
2018-07-18, 98.01 
2018-07-19, 99.47 
2018-07-20, 99.61 
2018-07-23, 100.08 
2018-07-24, 98.99 
2018-07-25, 99.67 
2018-07-26, 110.85 
2018-07-27, 109.64 
2018-07-30, 109.01 
2018-07-31, 109.65 
2018-08-01, 111.11 
2018-08-02, 113.89 
2018-08-03, 114.75 
2018-08-06, 116.03 
2018-08-07, 116.13 
2018-08-08, 115.59 
2018-08-09, 115.32 
2018-08-10, 114.82 
2018-08-13, 115.13 
2018-08-14, 117.25 
2018-08-15, 114.89 
2018-08-16, 114.74 
2018-08-17, 116.02 
2018-08-20, 115.40 
2018-08-21, 115.96 
2018-08-22, 115.96 
2018-08-23, 116.10 
2018-08-24, 116.82 
2018-08-27, 117.39 
2018-08-28, 117.16 
2018-08-29, 117.35 
2018-08-30, 117.09 
2018-08-31, 117.05 
2018-09-04, 116.18 
2018-09-05, 116.38 
2018-09-06, 116.58 
2018-09-07, 116.27 
2018-09-10, 117.03 
2018-09-11, 116.51 
2018-09-12, 117.72 
2018-09-13, 118.86 
2018-09-14, 120.58 
2018-09-17, 118.99 
2018-09-18, 119.73 
2018-09-19, 120.31 
2018-09-20, 120.10 
2018-09-21, 121.59 
2018-09-24, 122.77 
2018-09-25, 122.59 
2018-09-26, 122.35 
2018-09-27, 122.71 
2018-09-28, 123.47 
2018-10-01, 123.00 
2018-10-02, 121.75 
2018-10-03, 123.98 
2018-10-04, 119.59 
2018-10-05, 120.39 
2018-10-08, 119.60 
2018-10-09, 118.78 
2018-10-10, 115.13 
2018-10-11, 114.10 
2018-10-12, 115.94 
2018-10-15, 115.55 
2018-10-16, 119.32 
2018-10-17, 118.93 
2018-10-18, 116.53 
2018-10-19, 113.77 
2018-10-22, 113.98 
2018-10-23, 113.91 
2018-10-24, 111.88 
2018-10-25, 104.35 
2018-10-26, 101.13 
2018-10-29, 101.32 
2018-10-30, 104.69 
2018-10-31, 105.92 
2018-11-01, 104.93 
2018-11-02, 106.16 
2018-11-05, 107.65 
2018-11-06, 108.31 
2018-11-07, 111.16 
2018-11-08, 111.76 
2018-11-09, 110.98 
2018-11-12, 106.90 
2018-11-13, 106.91 
2018-11-14, 106.46 
2018-11-15, 108.60 
2018-11-16, 110.14 
2018-11-19, 105.39 
2018-11-20, 105.17 
2018-11-21, 105.23 
2018-11-23, 105.71 
2018-11-26, 106.19 
2018-11-27, 105.03 
2018-11-28, 108.07 
2018-11-29, 108.77 
2018-11-30, 109.56 
2018-12-03, 110.85 
2018-12-04, 109.25 
2018-12-06, 108.50 
2018-12-07, 106.02 
2018-12-10, 107.62 
2018-12-11, 106.66 
2018-12-12, 107.75 
2018-12-13, 107.12 
2018-12-14, 104.63 
2018-12-17, 102.03 
2018-12-18, 100.62 
2018-12-19, 99.35 
2018-12-20, 97.65 
2018-12-21, 95.11 
2018-12-24, 93.00 
2018-12-26, 96.51 
2018-12-27, 96.31 
2018-12-28, 96.23 
